,Country,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
83,Ireland,1764.0,23364,764,11.0,0.0,0,6.81,90.24,7.55,25766,126,0.49,25892.0,6.812915186157886
84,Israel,474.0,27133,36378,2029.0,4.0,108,0.74,42.41,1.75,52003,11982,23.04,63985.0,0.7407986246776588
85,Italy,35112.0,198593,12581,168.0,5.0,147,14.26,80.64,17.68,244624,1662,0.68,246286.0,14.256595990027854
86,Jamaica,10.0,714,129,11.0,0.0,0,1.17,83.7,1.4,809,44,5.44,853.0,1.1723329425556859
87,Japan,998.0,21970,8174,594.0,0.0,364,3.2,70.55,4.54,25706,5436,21.15,31142.0,3.2046753580373775
88,Jordan,11.0,1041,124,8.0,0.0,0,0.94,88.52,1.06,1223,-47,-3.84,1176.0,0.935374149659864
89,Kazakhstan,585.0,54404,29659,1526.0,0.0,1833,0.69,64.27,1.08,73468,11180,15.22,84648.0,0.6910972497873547
90,Kenya,285.0,7833,9857,372.0,5.0,90,1.59,43.58,3.64,13771,4204,30.53,17975.0,1.5855354659248957
91,Kosovo,185.0,4027,3201,496.0,16.0,274,2.5,54.32,4.59,5877,1536,26.14,7413.0,2.495615810063402
92,Kuwait,438.0,55057,8884,606.0,5.0,684,0.68,85.52,0.8,59763,4616,7.72,64379.0,0.680346075583653
93,Kyrgyzstan,1301.0,21205,10790,483.0,24.0,817,3.91,63.69,6.14,27143,6153,22.67,33296.0,3.9073762614127823
94,Laos,0.0,19,1,0.0,0.0,0,0.0,95.0,0.0,19,1,5.26,20.0,0.0
95,Latvia,31.0,1045,143,1282.7401129943503,30.401129943502823,0,2.54,85.73,2.97,1192,27,2.27,1219.0,2.543068088597211
